accession,full_name,host,vp8_reference,vp8_coverage,vp8_status
OM471829.1,MP056P,Sus scrofa,Wa_P8,1.0,PASS
OM471830.1,IP013P,Sus scrofa,Wa_P8,0.9558823529411765,PASS
OM471832.1,IP045P,Sus scrofa,Wa_P8,0.9595588235294118,PASS
OM471833.1,IP046P,Sus scrofa,Wa_P8,0.9926470588235294,PASS
OM471834.1,IP046P,Sus scrofa,Wa_P8,0.9779411764705882,PASS
OM471835.1,IP056P,Sus scrofa,Wa_P8,0.9963235294117647,PASS
OM471836.1,IP062P,Sus scrofa,Wa_P8,0.9889705882352942,PASS
OM471837.1,IP071P,Sus scrofa,Wa_P8,0.9632352941176471,PASS
OM471838.1,IP072P,Sus scrofa,Wa_P8,0.9926470588235294,PASS
MW718936.1,IP037P,Sus scrofa,Wa_P8,0.9816176470588235,PASS
MW718937.1,IP043P,Sus scrofa,Wa_P8,0.9963235294117647,PASS
MW718938.1,IP044P,Sus scrofa,Wa_P8,0.9963235294117647,PASS
MW718939.1,IP058P,Sus scrofa,Wa_P8,0.9779411764705882,PASS
MW718940.1,IP059P,Sus scrofa,Wa_P8,0.9742647058823529,PASS
MW718941.1,RP015P,Sus scrofa,Wa_P8,0.9816176470588235,PASS
MW718942.1,RP018P,Sus scrofa,Wa_P8,0.9816176470588235,PASS
MW718943.1,RP019P,Sus scrofa,Wa_P8,0.9779411764705882,PASS
MW718944.1,RP020P,Sus scrofa,Wa_P8,0.9963235294117647,PASS
MW718945.1,RP072P,Sus scrofa,Wa_P8,0.9522058823529411,PASS
MW718946.1,RP073P,Sus scrofa,Wa_P8,0.9816176470588235,PASS
KM820719.1,RVA/Pig-wt/BEL/12R006/2012/G3P[6],Sus scrofa,Wa_P8,1.0,PASS
GU983674.1,,Eidolon helvum,Wa_P8,0.9705882352941176,PASS
PV631378.1,,Sus scrofa,Wa_P8,1.0,PASS
PQ581872.1,,Sus scrofa,Wa_P8,1.0,PASS
PQ581883.1,,Sus scrofa,Wa_P8,1.0,PASS
PP874407.1,,Sus scrofa,Wa_P8,1.0,PASS
PP874418.1,,Sus scrofa,Wa_P8,1.0,PASS
PP874429.1,,Sus scrofa,DS1_P4,1.0,PASS
PP874440.1,,Sus scrofa,DS1_P4,1.0,PASS
PP874451.1,,Sus scrofa,Wa_P8,1.0,PASS
PP874452.1,,Sus scrofa,Wa_P8,1.0,PASS
PP874453.1,,Sus scrofa,Wa_P8,1.0,PASS
OP978241.1,,Sus scrofa,DS1_P4,1.0,PASS
LC776468.1,,Sus scrofa,Wa_P8,1.0,PASS
LC776479.1,,Sus scrofa,Wa_P8,1.0,PASS
LC776490.1,,Sus scrofa,Wa_P8,0.9963235294117647,PASS
