accession,host,genotype,vp8_coverage
OM471829.1,Sus scrofa,P[6],1.0
OM471830.1,Sus scrofa,P[6],0.9558823529411765
OM471832.1,Sus scrofa,P[6],0.9595588235294118
OM471833.1,Sus scrofa,P[6],0.9926470588235294
OM471834.1,Sus scrofa,P[6],0.9779411764705882
OM471835.1,Sus scrofa,P[6],0.9963235294117647
OM471836.1,Sus scrofa,P[6],0.9889705882352942
OM471837.1,Sus scrofa,P[6],0.9632352941176471
MW718936.1,Sus scrofa,P[6],0.9816176470588235
MW718937.1,Sus scrofa,P[6],0.9963235294117647
MW718938.1,Sus scrofa,P[6],0.9963235294117647
MW718939.1,Sus scrofa,P[6],0.9779411764705882
MW718940.1,Sus scrofa,P[6],0.9742647058823529
MW718941.1,Sus scrofa,P[6],0.9816176470588235
MW718942.1,Sus scrofa,P[6],0.9816176470588235
MW718943.1,Sus scrofa,P[6],0.9779411764705882
MW718944.1,Sus scrofa,P[6],0.9963235294117647
MW718945.1,Sus scrofa,P[6],0.9522058823529411
MW718946.1,Sus scrofa,P[6],0.9816176470588235
KM820719.1,Sus scrofa,P[6],1.0
GU983674.1,Eidolon helvum,P[6],0.9705882352941176
PV631378.1,Sus scrofa,,1.0
PQ581872.1,Sus scrofa,G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,1.0
PQ581883.1,Sus scrofa,G5-P[23]-I5-R1-C1-M1-A8-N1-T7-E1-H1,1.0
PP874407.1,Sus scrofa,G5-P[13]-I5-R1-C1-M1-A8-N1-T7-E1-H1,1.0
PP874418.1,Sus scrofa,G4-P[6]-I5-R1-C1-M1-A8-N1-T7-E1-H1,1.0
PP874429.1,Sus scrofa,G3-P[7]-I5-R1-C1-M1-A8-N1-T7-E1-H1,1.0
PP874440.1,Sus scrofa,G2-P[27]-I5-R1-C1-M1-A8-N1-T7-E1-H1,1.0
PP874451.1,Sus scrofa,G3/G11-P[6]/P[13]/P[23]-I5-R1-C1-M1-A8-N1-T1/T7-E1-H1,1.0
PP874452.1,Sus scrofa,G3/G11-P[6]/P[13]/P[23]-I5-R1-C1-M1-A8-N1-T1/T7-E1-H1,1.0
PP874453.1,Sus scrofa,G3/G11-P[6]/P[13]/P[23]-I5-R1-C1-M1-A8-N1-T1/T7-E1-H1,1.0
OP978241.1,Sus scrofa,G5P[7]-I5-R1-C1-M1-A1-N1-T1-E1-H1,1.0
LC776468.1,Sus scrofa,,1.0
LC776479.1,Sus scrofa,,1.0
LC776490.1,Sus scrofa,,0.9963235294117647
LC776503.1,Sus scrofa,,0.9889705882352942
LC776515.1,Sus scrofa,,1.0
LC776527.1,Sus scrofa,,1.0
LC776538.1,Sus scrofa,,1.0
LC776549.1,Sus scrofa,,1.0
LC777940.1,Sus scrofa,,0.9926470588235294
LC777951.1,Sus scrofa,,1.0
LC777963.1,Sus scrofa,,0.9926470588235294
LC777979.1,Sus scrofa,,0.9117647058823529
LC777990.1,Sus scrofa,,0.9926470588235294
OP454313.1,Sus scrofa,P7,1.0
MT784807.1,Sus scrofa,G9-P[13]-I5-R1-C1-M1-A8-N1-T1-E1-H1,1.0
MT784814.1,Sus scrofa,G4-P[6]-I1-R1-C1-M1-A8-N1-T7-E1-H1,1.0
MN102368.1,Sus scrofa,,1.0
MK227401.1,Sus scrofa,G4-P[49]-I1-R1-C1-M1-A8-N2-T7-E1-E2-H2,1.0
MG781055.1,Sus scrofa,G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,1.0
KX988267.1,Sus scrofa,G3-P[13]-I1-R1-C1-M1-A8-N1-T1-E1-H1,0.9632352941176471
KX988278.1,Sus scrofa,G3-P[13]-I1-R1-C1-M1-A8-N1-T1-E1-H1,0.9963235294117647
KR052749.1,Sus scrofa,G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,1.0
KR052770.1,Sus scrofa,G1-P[7]-I5-R1-C1-M1-A1-N1-T1-E1-H1,1.0
KP753009.1,Sus scrofa,"G5-P[6]-I5-R1-C1-M1-A8,A8-N1-T1,T7-E9-H1",1.0
KP753125.1,Sus scrofa,"G5,G3-P[23]-I5-R1-C1-M1-A8,A8-N1-T1,T1-E1-H1",1.0
KM820718.1,Sus scrofa,P[13],0.9411764705882353
KM820719.1,Sus scrofa,P[6],1.0
KM820720.1,Sus scrofa,P[23],0.9301470588235294
KM820722.1,Sus scrofa,P[7],1.0
KC610681.1,Sus scrofa,G9-P[23]-I5-R1-C1-M1-A8-N1-T7-E1-H1,1.0
KC610692.1,Sus scrofa,G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,1.0
KC610703.1,Sus scrofa,G9-P[23]-I5-R1-C1-M1-A8-N1-T1-E1-H1,0.9558823529411765
KJ752375.1,Sus scrofa,G2-P[4]-I2-R2-C2-M2-A2-N2-T2-E2-H2,1.0
KJ752488.1,Sus scrofa,"G5-P[6]-I5,I5-R1-C1,C1-M1,M1-A8,A8-N1,N1-T7,T1-E1-H1",1.0
DQ629926.1,Sus scrofa,G1 P[?],0.9669117647058824
DQ061053.1,Sus scrofa,VP4,1.0
PP987322.1,Bos taurus,G10-P[11]-I2-R2-C2-M2-A11-N2-T6-E2-H3,1.0
PP991470.1,Bos taurus,G10,1.0
PP991481.1,Bos taurus,G6,1.0
LC727728.1,Bos taurus,G8-P[1]-I2-R2-C2-M2-A3-N2-T9-E2-H3,1.0
LC727979.1,Bos taurus,G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,1.0
OL988911.1,Bos taurus,G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,1.0
MW752841.1,Bos taurus,,1.0
MW771120.1,Bos taurus,G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,1.0
MW771130.1,Bos taurus,G6-P[5]-I2-R2-C2-M2-A13-N2-T6-E2-H3,1.0
MW771152.1,Bos taurus,G10-P[11]-I2-R2-C2-M2-A11-N2-T6-E2-H3,1.0
MW771163.1,Bos taurus,G10-P[11]-I2-R2-C2-M2-A13-N2-T6-E2-H3,1.0
MW771196.1,Bos taurus,G6-P[11]-I2-R2-C2-M2-A13-N2-T6-E2-H3,1.0
LC590916.1,Bos taurus,P5,0.8713235294117647
LC590920.1,Bos taurus,P11,0.9595588235294118
LC590922.1,Bos taurus,P5,0.9595588235294118
LC590924.1,Bos taurus,P11,0.9595588235294118
LC590926.1,Bos taurus,P11,0.9595588235294118
LC590934.1,Bos taurus,P11,0.9595588235294118
LC590940.1,Bos taurus,P5,0.9448529411764706
LC590944.1,Bos taurus,P5,0.9558823529411765
LC590946.1,Bos taurus,P5,0.9595588235294118
LC590948.1,Bos taurus,P5,0.9595588235294118
LC590950.1,Bos taurus,P5,0.9595588235294118
LC590952.1,Bos taurus,P11,0.9595588235294118
LC590954.1,Bos taurus,P5,0.9595588235294118
LC590956.1,Bos taurus,P5,0.9448529411764706
LC590958.1,Bos taurus,P5,0.9522058823529411
LC590960.1,Bos taurus,P5,0.9595588235294118
LC590964.1,Bos taurus,P5,0.9595588235294118
LC590968.1,Bos taurus,P11,0.9595588235294118
LC590972.1,Bos taurus,P11,0.9595588235294118
LC590974.1,Bos taurus,P5,0.9595588235294118
LC590976.1,Bos taurus,P5,0.9595588235294118
LC590978.1,Bos taurus,P5,0.9411764705882353
LC590980.1,Bos taurus,P11,0.9595588235294118
LC590983.1,Bos taurus,P5,0.9558823529411765
LC590985.1,Bos taurus,P11,0.9595588235294118
LC590989.1,Bos taurus,P11,0.9595588235294118
LC590993.1,Bos taurus,P11,0.9595588235294118
LC590999.1,Bos taurus,P11,0.9595588235294118
LC591003.1,Bos taurus,P11,0.9595588235294118
LC591005.1,Bos taurus,P11,0.9595588235294118
LC591009.1,Bos taurus,P5,0.9595588235294118
LC591014.1,Bos taurus,P11,0.9595588235294118
LC591016.1,Bos taurus,P5,0.9595588235294118
LC591022.1,Bos taurus,P11,0.9595588235294118
LC591025.1,Bos taurus,P5,0.9595588235294118
LC591033.1,Bos taurus,P5,0.9595588235294118
LC591053.1,Bos taurus,P5,0.9595588235294118
LC591063.1,Bos taurus,P5,0.9448529411764706
LC591065.1,Bos taurus,P5,0.9595588235294118
LC591069.1,Bos taurus,P11,0.9595588235294118
LC591073.1,Bos taurus,P5,0.9669117647058824
LC591075.1,Bos taurus,P5,0.9669117647058824
LC591079.1,Bos taurus,P5,0.8713235294117647
LC591081.1,Bos taurus,P5,0.9080882352941176
LC591083.1,Bos taurus,P5,0.9595588235294118
LC591085.1,Bos taurus,P5,0.9669117647058824
LC591090.1,Bos taurus,P5,0.8713235294117647
LC591092.1,Bos taurus,P5,0.9669117647058824
LC591094.1,Bos taurus,P5,0.9595588235294118
LC591097.1,Bos taurus,P5,0.9669117647058824
LC553587.1,Bos taurus,G10-P[11]-I2-R2-C2-M2-A13-N2-T6-E2-H3,1.0
LC553609.1,Bos taurus,G6-P[11]-I2-R2-C2-M2-A3-N2-T6-E2-H3,1.0
KX655531.1,Bos taurus,G12-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,1.0
JF990808.1,Bos taurus,G6,1.0
JF990831.1,Bos taurus,,1.0
JF693029.1,Bos taurus,G6,1.0
JF693040.1,Bos taurus,G8,1.0
JN831212.1,Bos taurus,G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,1.0
JN831223.1,Bos taurus,G8-P[1]-I2-R2-C2-M2-A3-N2-T6-E2-H3,1.0
MG407648.1,Human,P[19],1.0
MG590357.1,Human,P[9],0.9301470588235294
KR632621.1,Human,P[9],1.0
HG513048.1,Human,P[19],1.0
JF793937.1,Human,P[9],0.9742647058823529
JF793939.1,Human,P[9],0.9779411764705882
JF793940.1,Human,P[14],0.9779411764705882
