original,duplicate,sequence_md5
OP454315.1,OP454316.1,98bf29dc05ee6fa7f5f1e9fb50e9489f
OP454315.1,OP454321.1,98bf29dc05ee6fa7f5f1e9fb50e9489f
MT784807.1,MT784808.1,762d178e267e9b31b18f4fdf9345b882
MT784807.1,MT784809.1,762d178e267e9b31b18f4fdf9345b882
MT784807.1,MT784810.1,762d178e267e9b31b18f4fdf9345b882
MT784807.1,MT784811.1,762d178e267e9b31b18f4fdf9345b882
MT784807.1,MT784813.1,762d178e267e9b31b18f4fdf9345b882
KM820719.1,KM820719.1,3ef5a3c2740a451238b919f3bf67e9fe
LC590995.1,LC590997.1,338ab45f7882e716c9bf7f7741259fef
LC591009.1,LC591011.1,4f84fb8aea8f37f59fbad0dc3da1e319
LC591037.1,LC591039.1,3e0879b52b50ef098886cb9e5c0a38da
LC591037.1,LC591041.1,3e0879b52b50ef098886cb9e5c0a38da
JF990808.1,JF990820.1,9081436f427587f212d8850d43655e18
JF990808.1,JF693051.1,9081436f427587f212d8850d43655e18
JF990808.1,JF693062.1,9081436f427587f212d8850d43655e18
JF990808.1,HQ844008.1,9081436f427587f212d8850d43655e18
JF990808.1,HQ844019.1,9081436f427587f212d8850d43655e18
JF990808.1,GQ225825.1,9081436f427587f212d8850d43655e18
JF990808.1,GQ225829.1,9081436f427587f212d8850d43655e18
JF990808.1,GQ225830.1,9081436f427587f212d8850d43655e18
